ID,Created,FirstAssigned,Resolved,Support Group,Store,Classification,Assigned To,Priority,Num Assigns,Reopened,Title
IR1,8/8/2016 2:54,8/9/2016 0:12,8/14/2016 22:07,Help Desk,Lamar,Permission Request,Diego,2,3,Yes,R10 lane is frozen. Stuck on loading screen
IR2,2/5/2017 12:57,2/6/2017 6:20,2/14/2017 18:43,Retail Support,Wells Branch,Scale Broken,Frank,3,2,No,cash register not working
IR3,7/4/2016 19:16,7/4/2016 22:27,7/7/2016 20:42,Retail Payments,Lamar,Tax Issue,Kelly,4,4,No,lane is down. The lane won't do the thingerjig
IR4,11/2/2016 7:21,11/2/2016 10:07,11/2/2016 17:03,Retail Payments,Hyde Park,Tax Issue,Joy,2,3,No,apple pay not working
IR5,10/29/2016 10:27,10/29/2016 13:08,10/31/2016 0:26,Help Desk,Downtown,Permission Request,Bob,1,1,No,apple pay register won't accept credit card
IR6,2/27/2017 20:07,2/27/2017 22:41,3/4/2017 2:41,Help Desk,Wells Branch,Email,Diego,2,1,No,lane keeps freezing up when we try to use coupon
IR7,6/29/2016 22:24,7/1/2016 9:51,7/9/2016 21:52,Retail Payments,Downtown,Credit Card Issue,Joy,2,3,No,scale broken
IR8,5/5/2016 1:38,5/5/2016 14:53,5/7/2016 2:04,Retail Support,Lamar,Other,George,1,2,No,"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.” "
IR9,9/14/2016 9:08,9/15/2016 5:43,9/17/2016 12:43,Retail Support,Lamar,Lane Frozen,Hannah,2,4,No,"“You have power over your mind - not outside events. Realize this, and you will find strength.” "
IR10,11/8/2016 3:43,11/8/2016 7:19,11/10/2016 13:53,Retail Payments,Sunset Valley,Tax Issue,Kelly,4,3,No,“The happiness of your life depends upon the quality of your thoughts.” 
IR11,2/2/2017 19:18,2/3/2017 15:18,2/13/2017 8:55,Retail Payments,Sunset Valley,Credit Card Issue,Laura,2,4,No,"“Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.” "
IR12,3/1/2017 20:34,3/2/2017 4:26,3/4/2017 2:02,Retail Support,Downtown,Lane Frozen,George,3,4,No,“Waste no more time arguing about what a good man should be. Be one.” 
IR13,3/27/2017 22:08,3/29/2017 8:44,4/1/2017 5:16,Help Desk,Downtown,Email,Charlie,2,1,No,"“When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...” "
IR14,8/20/2016 19:43,8/21/2016 18:37,8/25/2016 1:12,Retail Payments,Downtown,Tax Issue,Laura,2,2,No,"“Accept the things to which fate binds you, and love the people with whom fate brings you together,but do so with all your heart.” "
IR15,2/10/2017 21:27,2/11/2017 12:23,2/13/2017 16:06,Retail Payments,Wells Branch,Credit Card Issue,Laura,2,3,No,"“If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.” "
IR16,2/13/2017 15:00,2/14/2017 2:51,2/19/2017 22:05,Help Desk,Wells Branch,Email,Emily,3,4,Yes,“The best revenge is to be unlike him who performed the injury.” 
IR17,3/27/2017 0:55,3/28/2017 19:39,4/1/2017 9:03,Help Desk,Lamar,Permission Request,Emily,2,1,No,"“It is not death that a man should fear, but he should fear never beginning to live.” "
IR18,3/14/2017 23:35,3/16/2017 4:39,3/17/2017 16:36,Help Desk,Downtown,Email,Diego,3,1,No,“Our life is what our thoughts make it.” 
IR19,7/2/2016 22:09,7/3/2016 7:07,7/3/2016 8:33,Help Desk,Sunset Valley,Permission Request,Diego,3,4,Yes,“The soul becomes dyed with the colour of its thoughts.” 
IR20,10/13/2016 6:53,10/13/2016 18:11,10/14/2016 2:16,Help Desk,Lamar,Permission Request,Adam,3,1,No,"“If someone is able to show me that what I think or do is not right, I will happily change, for I seek the truth, by which no one was ever truly harmed. It is the person who continues in his self-deception and ignorance who is harmed.” "
IR21,6/12/2016 15:41,6/13/2016 5:34,6/18/2016 12:23,Retail Payments,Downtown,Tax Issue,Laura,2,3,No,“If it is not right do not do it; if it is not true do not say it.” 
IR22,3/3/2017 22:47,3/4/2017 2:38,3/5/2017 7:00,Retail Payments,Wells Branch,Tax Issue,Laura,4,1,No,"“Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.” "
IR23,5/17/2016 3:26,5/17/2016 11:43,5/19/2016 19:57,Help Desk,Wells Branch,Permission Request,Bob,2,2,No,“Very little is needed to make a happy life; it is all within yourself in your way of thinking.” 
IR24,12/6/2016 14:07,12/7/2016 1:06,12/9/2016 10:25,Retail Support,Lamar,Other,Irvin,3,2,No,"“The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.” "
IR25,1/3/2017 18:26,1/5/2017 7:51,1/6/2017 12:22,Help Desk,Sunset Valley,Desktop Support,Diego,2,1,No,"“I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.” "
IR26,2/15/2017 7:07,2/15/2017 8:40,2/17/2017 15:17,Retail Support,Wells Branch,Lane Frozen,Hannah,3,3,No,“Reject your sense of injury and the injury itself disappears.” 
IR27,12/7/2016 17:37,12/7/2016 21:24,12/9/2016 3:19,Retail Support,Sunset Valley,Scale Broken,George,3,1,No,“The best revenge is not to be like your enemy.” 
IR28,9/6/2016 20:46,9/7/2016 7:47,9/7/2016 15:17,Help Desk,Hyde Park,Permission Request,Emily,2,1,No,"“Whenever you are about to find fault with someone, ask yourself the following question: What fault of mine most nearly resembles the one I am about to criticize?” "
IR29,10/12/2016 18:40,10/13/2016 19:58,10/15/2016 20:20,Help Desk,Lamar,Desktop Support,Diego,3,1,No,"“When another blames you or hates you, or people voice similar criticisms, go to their souls, penetrate inside and see what sort of people they are. You will realize that there is no need to be racked with anxiety that they should hold any particular opinion about you.” "
IR30,5/17/2016 23:58,5/18/2016 23:40,5/22/2016 13:46,Retail Support,Lamar,Coupon Not Working,Irvin,1,1,No,“The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.” 
IR31,9/21/2016 1:38,9/23/2016 0:43,9/26/2016 5:58,Retail Payments,Hyde Park,Credit Card Issue,Joy,3,4,No,“How much more grievous are the consequences of anger than the causes of it.” 
IR32,11/25/2016 0:22,11/25/2016 23:41,12/1/2016 21:50,Retail Support,Hyde Park,Coupon Not Working,Irvin,2,4,No,"“Do not act as if you were going to live ten thousand years. Death hangs over you. While you live, while it is in your power, be good.” "
IR33,7/1/2016 21:30,7/2/2016 9:37,7/9/2016 5:00,Retail Payments,Sunset Valley,Tax Issue,Joy,2,3,No,"“Begin each day by telling yourself: Today I shall be meeting with interference, ingratitude, insolence, disloyalty, ill-will, and selfishness – all of them due to the offenders’ ignorance of what is good or evil.” "
IR34,3/29/2017 13:56,3/30/2017 18:41,3/31/2017 21:44,Help Desk,Hyde Park,Desktop Support,Diego,2,4,No,“Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.” 
IR35,5/14/2016 10:01,5/15/2016 9:52,5/16/2016 8:15,Help Desk,Lamar,Email,Emily,3,4,No,"“Here is a rule to remember in future, when anything tempts you to feel bitter: not ""This is misfortune,"" but ""To bear this worthily is good fortune.” "
IR36,7/5/2016 6:51,7/5/2016 23:05,7/10/2016 15:01,Help Desk,Sunset Valley,Desktop Support,Charlie,3,2,No,"“How much time he gains who does not look to see what his neighbour says or does or thinks, but only at what he does himself, to make it just and holy.” "
IR37,1/20/2017 18:51,1/22/2017 2:28,1/24/2017 21:07,Retail Support,Lamar,Other,George,4,2,No,"“You are a little soul carrying about a corpse, as Epictetus used to say.” "
IR38,3/29/2017 5:07,3/30/2017 6:55,3/31/2017 21:46,Retail Payments,Downtown,Tax Issue,Laura,2,2,No,R10 lane is frozen. Stuck on loading screen
IR39,10/31/2016 17:22,11/1/2016 5:11,11/7/2016 16:47,Retail Payments,Lamar,Tax Issue,Joy,3,1,No,cash register not working
IR40,3/17/2017 3:31,3/18/2017 15:43,3/26/2017 6:33,Retail Payments,Downtown,Tax Issue,Joy,2,2,No,lane is down. The lane won't do the thingerjig
IR41,8/22/2016 10:57,8/24/2016 1:59,8/27/2016 1:45,Help Desk,Downtown,Desktop Support,Diego,2,1,No,apple pay not working
IR42,3/27/2017 13:51,3/28/2017 1:10,3/29/2017 0:58,Retail Support,Sunset Valley,Lane Frozen,Frank,3,3,No,apple pay register won't accept credit card
IR43,1/22/2017 16:27,1/23/2017 4:48,1/29/2017 9:59,Retail Payments,Wells Branch,Tax Issue,Joy,3,4,No,lane keeps freezing up when we try to use coupon
IR44,2/7/2017 3:43,2/7/2017 8:39,2/9/2017 16:04,Retail Payments,Sunset Valley,Credit Card Issue,Kelly,2,4,No,scale broken
IR45,11/7/2016 5:10,11/9/2016 1:20,11/15/2016 0:26,Retail Support,Wells Branch,Scale Broken,George,4,1,No,"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.” "
IR46,1/9/2017 2:29,1/9/2017 3:28,1/12/2017 19:46,Help Desk,Hyde Park,Permission Request,Charlie,3,2,No,"“You have power over your mind - not outside events. Realize this, and you will find strength.” "
IR47,10/30/2016 5:04,10/30/2016 22:02,11/5/2016 11:15,Retail Support,Lamar,Other,George,2,3,No,“The happiness of your life depends upon the quality of your thoughts.” 
IR48,8/24/2016 18:26,8/25/2016 8:41,8/28/2016 18:45,Retail Support,Sunset Valley,Lane Frozen,Frank,2,4,No,"“Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.” "
IR49,11/2/2016 3:21,11/2/2016 15:52,11/5/2016 10:33,Retail Payments,Downtown,Tax Issue,Laura,1,1,No,“Waste no more time arguing about what a good man should be. Be one.” 
IR50,2/8/2017 6:26,2/10/2017 2:20,2/15/2017 0:14,Help Desk,Wells Branch,Permission Request,Adam,2,1,No,"“When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...” "
IR51,3/4/2017 8:52,3/5/2017 5:53,3/7/2017 0:14,Retail Support,Sunset Valley,Scale Broken,Hannah,3,3,No,"“Accept the things to which fate binds you, and love the people with whom fate brings you together,but do so with all your heart.” "
IR52,12/3/2016 0:18,12/3/2016 8:07,12/4/2016 3:09,Help Desk,Lamar,Email,Charlie,2,4,Yes,"“If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.” "
IR53,10/22/2016 15:57,10/22/2016 23:17,10/30/2016 7:25,Help Desk,Wells Branch,Desktop Support,Diego,3,1,No,“The best revenge is to be unlike him who performed the injury.” 
IR54,7/5/2016 17:48,7/7/2016 7:07,7/13/2016 2:54,Help Desk,Hyde Park,Desktop Support,Adam,1,4,No,"“It is not death that a man should fear, but he should fear never beginning to live.” "
IR55,10/6/2016 21:47,10/8/2016 13:54,10/14/2016 2:59,Retail Payments,Wells Branch,Credit Card Issue,Laura,1,1,Yes,“Our life is what our thoughts make it.” 
IR56,10/5/2016 23:33,10/6/2016 9:21,10/6/2016 13:05,Help Desk,Hyde Park,Desktop Support,Emily,3,3,No,“The soul becomes dyed with the colour of its thoughts.” 
IR57,11/22/2016 15:29,11/23/2016 8:25,11/24/2016 15:47,Retail Support,Downtown,Lane Frozen,George,2,2,No,"“If someone is able to show me that what I think or do is not right, I will happily change, for I seek the truth, by which no one was ever truly harmed. It is the person who continues in his self-deception and ignorance who is harmed.” "
IR58,6/2/2016 12:49,6/3/2016 19:18,6/5/2016 14:48,Help Desk,Hyde Park,Desktop Support,Charlie,3,4,No,“If it is not right do not do it; if it is not true do not say it.” 
IR59,5/29/2016 7:36,5/29/2016 14:05,6/3/2016 16:39,Help Desk,Lamar,Desktop Support,Bob,3,4,No,"“Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.” "
IR60,5/20/2016 2:15,5/20/2016 19:57,5/26/2016 10:09,Retail Payments,Hyde Park,Tax Issue,Kelly,2,2,No,“Very little is needed to make a happy life; it is all within yourself in your way of thinking.” 
IR61,6/13/2016 17:07,6/15/2016 11:44,6/20/2016 3:38,Retail Payments,Lamar,Tax Issue,Laura,3,3,No,"“The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.” "
IR62,8/16/2016 15:45,8/16/2016 21:28,8/19/2016 0:28,Help Desk,Hyde Park,Permission Request,Diego,2,1,No,"“I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.” "
IR63,1/14/2017 11:29,1/16/2017 6:10,1/17/2017 6:00,Help Desk,Wells Branch,Permission Request,Bob,4,2,No,“Reject your sense of injury and the injury itself disappears.” 
IR64,7/23/2016 14:51,7/25/2016 9:53,7/26/2016 12:01,Retail Support,Hyde Park,Other,Hannah,3,4,No,“The best revenge is not to be like your enemy.” 
IR65,3/31/2017 18:26,4/1/2017 15:40,4/2/2017 17:06,Help Desk,Sunset Valley,Permission Request,Bob,3,2,No,"“Whenever you are about to find fault with someone, ask yourself the following question: What fault of mine most nearly resembles the one I am about to criticize?” "
IR66,7/14/2016 8:30,7/14/2016 17:17,7/16/2016 16:01,Retail Support,Wells Branch,Coupon Not Working,Frank,1,1,No,"“When another blames you or hates you, or people voice similar criticisms, go to their souls, penetrate inside and see what sort of people they are. You will realize that there is no need to be racked with anxiety that they should hold any particular opinion about you.” "
IR67,6/11/2016 5:49,6/12/2016 4:07,6/20/2016 15:07,Retail Support,Downtown,Other,Frank,4,3,No,“The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.” 
IR68,2/9/2017 4:45,2/10/2017 9:27,2/13/2017 23:39,Retail Payments,Wells Branch,Credit Card Issue,Kelly,4,2,No,“How much more grievous are the consequences of anger than the causes of it.” 
IR69,2/11/2017 4:12,2/13/2017 1:03,2/18/2017 3:56,Retail Payments,Wells Branch,Tax Issue,Laura,2,4,No,"“Do not act as if you were going to live ten thousand years. Death hangs over you. While you live, while it is in your power, be good.” "
IR70,10/18/2016 21:03,10/20/2016 12:46,10/25/2016 5:21,Help Desk,Downtown,Desktop Support,Diego,2,1,No,"“Begin each day by telling yourself: Today I shall be meeting with interference, ingratitude, insolence, disloyalty, ill-will, and selfishness – all of them due to the offenders’ ignorance of what is good or evil.” "
IR71,5/21/2016 4:02,5/22/2016 0:46,5/23/2016 16:44,Retail Payments,Wells Branch,Tax Issue,Joy,3,2,No,“Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.” 
IR72,1/19/2017 2:20,1/20/2017 19:52,1/20/2017 20:24,Help Desk,Sunset Valley,Desktop Support,Diego,2,3,Yes,"“Here is a rule to remember in future, when anything tempts you to feel bitter: not ""This is misfortune,"" but ""To bear this worthily is good fortune.” "
IR73,2/25/2017 11:36,2/26/2017 4:29,2/26/2017 14:40,Retail Support,Downtown,Scale Broken,Hannah,2,2,No,"“How much time he gains who does not look to see what his neighbour says or does or thinks, but only at what he does himself, to make it just and holy.” "
IR74,11/2/2016 20:19,11/3/2016 14:02,11/4/2016 8:19,Help Desk,Lamar,Permission Request,Bob,3,4,No,"“You are a little soul carrying about a corpse, as Epictetus used to say.” "
IR75,12/15/2016 3:22,12/16/2016 18:33,12/20/2016 10:41,Help Desk,Downtown,Permission Request,Emily,2,1,Yes,R10 lane is frozen. Stuck on loading screen
IR76,9/16/2016 9:18,9/16/2016 10:59,9/18/2016 20:43,Retail Payments,Downtown,Credit Card Issue,Kelly,3,2,No,cash register not working
IR77,1/11/2017 11:50,1/12/2017 5:43,1/12/2017 7:09,Retail Support,Lamar,Lane Frozen,George,2,3,No,lane is down. The lane won't do the thingerjig
IR78,12/11/2016 7:21,12/12/2016 6:59,12/12/2016 11:48,Retail Support,Wells Branch,Scale Broken,Hannah,2,3,No,apple pay not working
IR79,6/22/2016 17:57,6/24/2016 8:42,6/30/2016 19:00,Retail Support,Hyde Park,Scale Broken,George,2,2,No,apple pay register won't accept credit card
IR80,7/8/2016 17:14,7/10/2016 1:06,7/15/2016 5:38,Retail Support,Wells Branch,Lane Frozen,George,2,1,No,lane keeps freezing up when we try to use coupon
IR81,8/5/2016 21:19,8/6/2016 12:10,8/7/2016 9:01,Help Desk,Downtown,Permission Request,Charlie,2,4,No,scale broken
IR82,7/28/2016 0:30,7/29/2016 17:40,8/5/2016 7:28,Help Desk,Lamar,Desktop Support,Diego,2,4,No,"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.” "
IR83,3/28/2017 0:39,3/28/2017 6:54,4/1/2017 0:42,Retail Support,Hyde Park,Lane Frozen,Frank,4,1,No,"“You have power over your mind - not outside events. Realize this, and you will find strength.” "
IR84,9/10/2016 22:19,9/11/2016 20:57,9/12/2016 13:01,Retail Payments,Lamar,Credit Card Issue,Joy,2,1,No,“The happiness of your life depends upon the quality of your thoughts.” 
IR85,7/5/2016 18:55,7/6/2016 12:40,7/7/2016 6:54,Retail Support,Lamar,Lane Frozen,Irvin,3,2,No,"“Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.” "
IR86,1/9/2017 22:39,1/10/2017 20:39,1/10/2017 23:33,Retail Payments,Wells Branch,Credit Card Issue,Joy,4,1,No,“Waste no more time arguing about what a good man should be. Be one.” 
IR87,11/4/2016 3:25,11/5/2016 21:16,11/8/2016 6:30,Retail Support,Hyde Park,Coupon Not Working,Frank,2,1,No,"“When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...” "
IR88,12/4/2016 12:55,12/6/2016 0:01,12/9/2016 20:59,Help Desk,Downtown,Desktop Support,Bob,2,3,Yes,"“Accept the things to which fate binds you, and love the people with whom fate brings you together,but do so with all your heart.” "
IR89,9/28/2016 18:55,9/28/2016 19:28,10/5/2016 23:02,Help Desk,Hyde Park,Email,Diego,3,3,No,"“If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment.” "
IR90,2/25/2017 2:41,2/26/2017 1:34,3/2/2017 11:20,Help Desk,Lamar,Permission Request,Diego,3,3,Yes,“The best revenge is to be unlike him who performed the injury.” 
IR91,6/18/2016 7:23,6/19/2016 7:18,6/20/2016 19:30,Retail Support,Sunset Valley,Scale Broken,Irvin,1,4,No,"“It is not death that a man should fear, but he should fear never beginning to live.” "
IR92,1/5/2017 1:13,1/6/2017 2:37,1/10/2017 14:25,Retail Support,Hyde Park,Other,George,2,3,No,“Our life is what our thoughts make it.” 
IR93,9/29/2016 21:34,9/30/2016 2:35,10/4/2016 18:29,Retail Support,Hyde Park,Scale Broken,George,2,2,No,“The soul becomes dyed with the colour of its thoughts.” 
IR94,5/14/2016 8:44,5/14/2016 20:30,5/16/2016 2:17,Retail Payments,Wells Branch,Tax Issue,Kelly,2,2,No,"“If someone is able to show me that what I think or do is not right, I will happily change, for I seek the truth, by which no one was ever truly harmed. It is the person who continues in his self-deception and ignorance who is harmed.” "
IR95,12/14/2016 11:52,12/14/2016 17:30,12/20/2016 4:45,Retail Support,Wells Branch,Scale Broken,Irvin,2,3,No,“If it is not right do not do it; if it is not true do not say it.” 
IR96,8/18/2016 14:09,8/19/2016 4:32,8/20/2016 1:50,Retail Support,Wells Branch,Scale Broken,Frank,2,4,No,"“Never let the future disturb you. You will meet it, if you have to, with the same weapons of reason which today arm you against the present.” "
IR97,9/3/2016 12:50,9/3/2016 20:05,9/7/2016 8:02,Retail Payments,Lamar,Tax Issue,Joy,1,1,No,“Very little is needed to make a happy life; it is all within yourself in your way of thinking.” 
IR98,11/7/2016 22:03,11/8/2016 4:35,11/12/2016 19:47,Help Desk,Wells Branch,Permission Request,Bob,3,2,Yes,"“The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.” "
IR99,5/24/2016 6:31,5/24/2016 11:24,5/26/2016 11:13,Retail Payments,Downtown,Tax Issue,Laura,2,1,No,"“I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinion of himself than on the opinion of others.” "
IR100,5/2/2016 20:31,5/3/2016 2:12,5/7/2016 13:54,Help Desk,Hyde Park,Desktop Support,Charlie,2,3,No,“Reject your sense of injury and the injury itself disappears.” 
IR101,1/26/2017 6:29,1/27/2017 5:18,1/27/2017 5:34,Retail Payments,Wells Branch,Tax Issue,Laura,3,1,Yes,“The best revenge is not to be like your enemy.” 
